,comparison,number_of_papers,number_of_contributions,number_of_resources,number_of_literals,number_of_predicates,number_of_related_resources,number_of_related_figures,research_field,#Statements,#Resources,#DistResources,#Literals,#DistLiterals,#Predicates,#DistPredicates
221,,,,,,,,,,77.0,142.0,12.0,12.0,6.0,77.0,9.0
222,,,,,,,,,,160.0,160.0,10.0,160.0,10.0,160.0,16.0
223,,,,,,,,,,168.0,168.0,14.0,168.0,14.0,168.0,12.0
224,,,,,,,,,,75.0,114.0,21.0,36.0,15.0,75.0,11.0
225,,,,,,,,,,149.0,211.0,20.0,87.0,20.0,149.0,13.0
226,,,,,,,,,,477.0,740.0,109.0,214.0,84.0,477.0,12.0
227,,,,,,,,,,825.0,1297.0,179.0,353.0,122.0,825.0,12.0
228,,,,,,,,,,526.0,811.0,118.0,241.0,68.0,526.0,18.0
229,,,,,,,,,,223.0,326.0,20.0,120.0,13.0,223.0,27.0
230,,,,,,,,,,416.0,633.0,98.0,199.0,82.0,416.0,12.0
231,,,,,,,,,,721.0,1131.0,158.0,311.0,126.0,721.0,13.0
232,,,,,,,,,,751.0,1175.0,169.0,327.0,130.0,751.0,13.0
233,,,,,,,,,,888.0,1361.0,168.0,415.0,132.0,888.0,44.0
234,,,,,,,,,,157.0,246.0,40.0,68.0,40.0,157.0,13.0
235,,,,,,,,,,97.0,160.0,17.0,34.0,17.0,97.0,20.0
236,,,,,,,,,,97.0,160.0,17.0,34.0,17.0,97.0,20.0
237,,,,,,,,,,63.0,78.0,5.0,48.0,5.0,63.0,13.0
238,,,,,,,,,,44.0,72.0,4.0,16.0,4.0,44.0,5.0
239,,,,,,,,,,44.0,72.0,4.0,16.0,4.0,44.0,5.0
240,,,,,,,,,,278.0,531.0,12.0,25.0,6.0,278.0,40.0
241,,,,,,,,,,278.0,531.0,12.0,25.0,6.0,278.0,40.0
242,,,,,,,,,,278.0,531.0,12.0,25.0,6.0,278.0,40.0
243,,,,,,,,,,278.0,531.0,12.0,25.0,6.0,278.0,40.0
244,,,,,,,,,,25.0,35.0,5.0,15.0,5.0,25.0,5.0
245,,,,,,,,,,63.0,78.0,5.0,48.0,5.0,63.0,13.0
246,,,,,,,,,,18.0,36.0,3.0,0.0,0.0,18.0,4.0
247,,,,,,,,,,23.0,36.0,4.0,10.0,4.0,23.0,7.0
248,,,,,,,,,,62.0,77.0,8.0,47.0,8.0,62.0,9.0
249,,,,,,,,,,62.0,119.0,7.0,5.0,2.0,62.0,26.0
250,,,,,,,,,,68.0,120.0,8.0,16.0,2.0,68.0,27.0
251,,,,,,,,,,68.0,120.0,8.0,16.0,2.0,68.0,27.0
252,,,,,,,,,,130.0,239.0,10.0,21.0,4.0,130.0,30.0
253,,,,,,,,,,99.0,126.0,14.0,72.0,14.0,99.0,14.0
254,,,,,,,,,,99.0,126.0,14.0,72.0,14.0,99.0,14.0
255,,,,,,,,,,120.0,153.0,18.0,87.0,18.0,120.0,13.0
256,,,,,,,,,,195.0,357.0,6.0,33.0,6.0,195.0,46.0
257,,,,,,,,,,93.0,127.0,7.0,59.0,6.0,93.0,12.0
258,,,,,,,,,,897.0,1268.0,131.0,526.0,119.0,897.0,84.0
259,,,,,,,,,,1059.0,1489.0,92.0,629.0,76.0,1059.0,24.0
260,,,,,,,,,,415.0,568.0,125.0,262.0,119.0,415.0,16.0
261,,,,,,,,,,70.0,128.0,20.0,12.0,11.0,70.0,13.0
262,,,,,,,,,,29.0,58.0,2.0,0.0,0.0,29.0,12.0
263,,,,,,,,,,79.0,155.0,7.0,3.0,3.0,79.0,28.0
264,,,,,,,,,,72.0,127.0,18.0,17.0,17.0,72.0,23.0
265,,,,,,,,,,19.0,37.0,5.0,1.0,1.0,19.0,8.0
266,,,,,,,,,,35.0,58.0,11.0,12.0,10.0,35.0,11.0
267,,,,,,,,,,522.0,778.0,72.0,266.0,55.0,522.0,12.0
268,,,,,,,,,,173.0,282.0,57.0,64.0,42.0,173.0,33.0
269,,,,,,,,,,283.0,430.0,53.0,136.0,52.0,283.0,22.0
270,,,,,,,,,,20.0,31.0,2.0,9.0,2.0,20.0,4.0
271,,,,,,,,,,21.0,38.0,5.0,4.0,1.0,21.0,6.0
272,,,,,,,,,,89.0,143.0,26.0,35.0,26.0,89.0,9.0
273,,,,,,,,,,15.0,27.0,3.0,3.0,3.0,15.0,5.0
274,,,,,,,,,,16.0,16.0,4.0,16.0,4.0,16.0,4.0
275,,,,,,,,,,310.0,424.0,101.0,196.0,101.0,310.0,30.0
276,,,,,,,,,,14.0,23.0,2.0,5.0,2.0,14.0,8.0
277,,,,,,,,,,20.0,23.0,3.0,17.0,3.0,20.0,7.0
278,,,,,,,,,,90.0,94.0,4.0,86.0,4.0,90.0,19.0
279,,,,,,,,,,45.0,69.0,7.0,21.0,7.0,45.0,18.0
280,,,,,,,,,,55.0,70.0,3.0,40.0,3.0,55.0,11.0
281,,,,,,,,,,35.0,59.0,6.0,11.0,6.0,35.0,9.0
282,,,,,,,,,,1043.0,1466.0,90.0,620.0,75.0,1043.0,24.0
283,,,,,,,,,,15.0,28.0,2.0,2.0,2.0,15.0,4.0
284,,,,,,,,,,33.0,66.0,3.0,0.0,0.0,33.0,6.0
285,,,,,,,,,,272.0,417.0,38.0,127.0,38.0,272.0,11.0
286,,,,,,,,,,272.0,417.0,38.0,127.0,38.0,272.0,11.0
287,,,,,,,,,,100.0,137.0,28.0,63.0,24.0,100.0,21.0
288,,,,,,,,,,157.0,246.0,40.0,68.0,40.0,157.0,13.0
289,,,,,,,,,,42.0,60.0,23.0,24.0,23.0,42.0,4.0
290,,,,,,,,,,914.0,1497.0,102.0,331.0,101.0,914.0,18.0
291,,,,,,,,,,914.0,1497.0,102.0,331.0,101.0,914.0,18.0
292,,,,,,,,,,990.0,1614.0,101.0,366.0,101.0,990.0,15.0
293,,,,,,,,,,1041.0,1693.0,101.0,389.0,101.0,1041.0,15.0
294,,,,,,,,,,972.0,1565.0,101.0,379.0,101.0,972.0,15.0
295,,,,,,,,,,1027.0,1666.0,101.0,388.0,100.0,1027.0,15.0
296,,,,,,,,,,850.0,1382.0,96.0,318.0,96.0,850.0,14.0
297,,,,,,,,,,51.0,85.0,17.0,17.0,12.0,51.0,12.0
298,,,,,,,,,,795.0,1409.0,168.0,181.0,113.0,795.0,99.0
299,,,,,,,,,,1291.0,1817.0,117.0,765.0,101.0,1291.0,26.0
300,,,,,,,,,,1291.0,1817.0,117.0,765.0,101.0,1291.0,26.0
301,,,,,,,,,,293.0,454.0,71.0,132.0,64.0,293.0,33.0
302,,,,,,,,,,110.0,163.0,30.0,57.0,26.0,110.0,18.0
303,,,,,,,,,,30.0,56.0,10.0,4.0,4.0,30.0,6.0
304,,,,,,,,,,36.0,56.0,8.0,16.0,6.0,36.0,10.0
305,,,,,,,,,,60.0,102.0,18.0,18.0,11.0,60.0,11.0
306,,,,,,,,,,30.0,56.0,10.0,4.0,4.0,30.0,6.0
307,,,,,,,,,,166.0,282.0,48.0,50.0,28.0,166.0,20.0
308,,,,,,,,,,292.0,427.0,67.0,157.0,65.0,292.0,20.0
309,,,,,,,,,,79.0,150.0,24.0,8.0,7.0,79.0,12.0
310,,,,,,,,,,80.0,111.0,24.0,49.0,24.0,80.0,9.0
311,,,,,,,,,,308.0,315.0,14.0,301.0,14.0,308.0,22.0
312,,,,,,,,,,87.0,111.0,14.0,63.0,14.0,87.0,13.0
313,,,,,,,,,,130.0,185.0,31.0,75.0,31.0,130.0,11.0
314,,,,,,,,,,135.0,201.0,33.0,69.0,32.0,135.0,8.0
315,,,,,,,,,,40.0,76.0,9.0,4.0,4.0,40.0,10.0
316,,,,,,,,,,40.0,76.0,9.0,4.0,4.0,40.0,10.0
317,,,,,,,,,,40.0,76.0,9.0,4.0,4.0,40.0,10.0
318,,,,,,,,,,40.0,76.0,9.0,4.0,4.0,40.0,10.0
319,,,,,,,,,,242.0,248.0,11.0,236.0,11.0,242.0,22.0
320,,,,,,,,,,386.0,577.0,66.0,195.0,64.0,386.0,29.0
321,,,,,,,,,,274.0,349.0,76.0,199.0,50.0,274.0,7.0
